max_value,0.3937
num_nodes,38
index_set,191
mean_value,0.139026
std_value,0.05919388215010061

experiment,mnist,lr_cnn,n_conv,som_in,max_pool,max_pool2d_size,filters_pow,kernel_size,n_max,at,eb,ds_beta,eps_ds,epochs,seed
153,0.1135153,0.07780222,1,124,0,3,3,5,32,0.807042,0.0014662000000000002,0.24550999999999998,0.03718,179,12401
154,0.1135154,0.02220778,3,124,0,4,4,7,121,0.8405299999999999,0.0026542,0.06587,0.02134,85,111600
155,0.1776155,0.09940006,2,104,0,4,3,7,104,0.98405,0.0022581999999999997,0.30539,0.027819999999999998,86,106800
156,0.1135156,0.08060194,4,59,1,2,3,3,108,0.979266,0.0011494,0.273454,0.03898,142,61201
157,0.1936157,0.00020998,1,28,0,4,4,7,174,0.729302,0.0099802,0.26547,0.04582,100,125200
158,0.2742158,0.04620538,2,69,0,3,6,3,95,0.889566,0.005980600000000001,0.373254,0.01234,80,62001
159,0.1135159,0.06740326,2,76,1,3,4,5,11,0.781926,0.005743,0.247506,0.08794,114,43601
160,0.278160,0.0190081,3,78,1,4,3,3,114,0.879998,0.0012682000000000001,0.471058,0.0721,189,66801
161,0.1135161,0.02380762,1,45,0,4,5,7,128,0.799866,0.007841800000000001,0.001998,0.0631,150,18001
162,0.1135162,0.07580242,2,2,1,4,3,7,53,0.946974,0.0049114,0.18563,0.09982,171,135600
163,0.1135163,0.08100189999999999,1,34,1,3,3,7,162,0.871626,0.005188600000000001,0.02595,0.026739999999999996,125,109200
164,0.1135164,0.01260874,2,101,1,4,3,7,115,0.775946,0.0016246,0.153694,0.08182,191,101200
165,0.1135165,0.04820518,4,69,0,4,4,5,91,0.8512940000000001,0.006139,0.28543,0.06166,153,117200
166,0.1141166,0.0530047,2,8,1,3,4,7,52,0.9063100000000001,0.009584200000000001,0.45309399999999994,0.07426,75,134800
167,0.1813167,0.00060994,4,125,1,4,5,3,139,0.974482,0.0074458,0.367266,0.0397,139,162800
168,0.1135168,0.08660134,4,28,0,2,2,3,58,0.85249,0.0094258,0.38922199999999996,0.0487,146,160400
169,0.1141169,0.0110089,2,48,0,4,5,7,119,0.819002,0.0066933999999999995,0.16966199999999998,0.019540000000000002,170,50801
170,0.1135170,0.06020398,2,47,1,3,6,5,192,0.7113619999999999,0.0055846,0.18163800000000002,0.05554,129,15601
171,0.1135171,0.00220978,3,51,0,3,3,5,65,0.901526,0.0052678,0.091818,0.08326,79,58801
172,0.1991172,0.09180082,2,29,1,3,4,7,103,0.908702,0.0019414000000000002,0.23553000000000002,0.0127,72,96401
173,0.1135173,0.02980702,3,98,0,3,6,3,134,0.71495,0.008594200000000001,0.069862,0.07822,97,130000
174,0.1135174,0.00940906,1,41,1,2,3,3,190,0.808238,0.0001198,0.023954,0.035019999999999996,159,118800
175,0.1135175,0.06460354,5,87,1,2,2,3,146,0.704186,0.004753,0.16367400000000001,0.02854,153,63601
176,0.1135176,0.027007299999999998,1,103,1,2,3,7,98,0.9589340000000001,0.0058618,0.433134,0.07786,105,14801
177,0.2965177,0.09900010000000001,3,58,1,3,6,7,54,0.9206620000000001,0.006534999999999999,0.127746,0.016659999999999998,77,118000
178,0.1135178,0.06060394,1,50,1,2,6,5,16,0.9505620000000001,0.0019809999999999997,0.473054,0.06706000000000001,143,182800
179,0.1135179,0.02180782,1,123,0,2,3,7,127,0.7603979999999999,0.0036838,0.299402,0.0757,101,45201
180,0.1135180,0.04860514,3,31,1,2,5,5,189,0.748438,0.0096634,0.297406,0.0667,184,154000
181,0.1135181,0.04220578,2,21,0,3,2,5,97,0.862058,0.0015058,0.13573,0.06957999999999999,71,178000
182,0.1135182,0.06220378,5,55,1,4,5,3,27,0.723322,0.0023769999999999998,0.40519,0.0235,199,38801
183,0.1136183,0.09060094,4,20,1,4,2,3,122,0.8931540000000001,0.0060598,0.317366,0.020980000000000002,166,31601
184,0.1135184,0.09780022,1,109,0,3,4,5,101,0.967306,0.000397,0.44910200000000006,0.01054,168,198000
185,0.1135185,0.00980902,1,86,0,3,3,7,169,0.83455,0.006337,0.159682,0.0451,145,120400
186,0.1135186,0.08340166,4,7,0,4,2,7,59,0.839334,0.0057826,0.093814,0.056620000000000004,124,4401
187,0.2481187,0.00140986,3,23,0,4,5,7,123,0.749634,0.002773,0.077846,0.09046,195,181200
188,0.1657188,0.0350065,4,93,0,3,5,7,179,0.9804620000000001,0.00043660000000000004,0.13173800000000002,0.03538,79,132400
